model,sum,expected,raw_text,parsed_answer,is_correct,error_abs,tokens,token_logprobs,top_logprobs,latency_ms,api_endpoint,created_at,error
gpt-5.4,1+1,2,2,2,True,0,"[""2""]",[5e-05],"[[{""token"": ""2"", ""bytes"": [50], ""logprob"": 5e-05}]]",972.61,v1/responses,2026-05-24T22:38:55.919951+00:00,
gpt-5.4,1+1+1,3,3,3,True,0,"[""3""]",[-4.2e-05],"[[{""token"": ""3"", ""bytes"": [51], ""logprob"": -4.2e-05}]]",966.46,v1/responses,2026-05-24T22:38:56.893343+00:00,
gpt-5.4,1+1+1+1,4,4,4,True,0,"[""4""]",[-6.1e-05],"[[{""token"": ""4"", ""bytes"": [52], ""logprob"": -6.1e-05}]]",1047.37,v1/responses,2026-05-24T22:38:57.946966+00:00,
gpt-5.4,1+1+1+1+1,5,5,5,True,0,"[""5""]",[-6.1e-05],"[[{""token"": ""5"", ""bytes"": [53], ""logprob"": -6.1e-05}]]",784.45,v1/responses,2026-05-24T22:39:38.217583+00:00,
gpt-5.4,1+1+1+1+1+1,6,6,6,True,0,"[""6""]",[6.1e-05],"[[{""token"": ""6"", ""bytes"": [54], ""logprob"": 6.1e-05}]]",766.16,v1/responses,2026-05-24T22:39:38.805062+00:00,
gpt-5.4,1+1+1+1+1+1+1,7,7,7,True,0,"[""7""]",[8e-06],"[[{""token"": ""7"", ""bytes"": [55], ""logprob"": 8e-06}]]",715.4,v1/responses,2026-05-24T22:39:38.807952+00:00,
gpt-5.4,1+1+1+1+1+1+1+1,8,8,8,True,0,"[""8""]",[3.8e-05],"[[{""token"": ""8"", ""bytes"": [56], ""logprob"": 3.8e-05}]]",1294.29,v1/responses,2026-05-24T22:39:39.522449+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1,9,9,9,True,0,"[""9""]",[8e-06],"[[{""token"": ""9"", ""bytes"": [57], ""logprob"": 8e-06}]]",819.81,v1/responses,2026-05-24T22:39:39.635285+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1,10,10,10,True,0,"[""10""]",[1.9e-05],"[[{""token"": ""10"", ""bytes"": [49, 48], ""logprob"": 1.9e-05}]]",735.43,v1/responses,2026-05-24T22:39:39.552398+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1,11,11,11,True,0,"[""11""]",[0.0],"[[{""token"": ""11"", ""bytes"": [49, 49], ""logprob"": 0.0}]]",1421.9,v1/responses,2026-05-24T22:39:40.953707+00:00,
